"seq","as_is_comp","as_is_attr","to_be_comp","to_be_attr","excel_order","max_cnt","max_attr","repli_flag","repli_attr","repli_child_flag","repli_child_attr"
6884,"","",COMMON,Page Properties,0,1,"",N,"",N,""
6885,"","",COMMON,path,0,1,"",N,"",N,""
6886,"","",COMMON,pageName,0,1,"",N,"",N,""
6887,"","",COMMON,jcr:title,0,1,"",N,"",N,""
6888,"","",COMMON,productSku,0,1,"",N,"",N,""
6889,"","",COMMON,pwaCachestrategy,0,1,"",N,"",N,""
6890,"","",COMMON,pwaDisplay,0,1,"",N,"",N,""
6891,"","",COMMON,pwaOrientation,0,1,"",N,"",N,""
6892,"","",COMMON,footerDisclaimerXf,0,1,"",N,"",N,""
6893,"","",COMMON,hideGallery,0,1,"",N,"",N,""
6894,"","",COMMON,hideInTheBox,0,1,"",N,"",N,""
6895,GPC0088,"",ST0020,product/overview-section/productspecinfo/sling:resourceType,1,1,"",N,"",N,""
6896,GPC0088,"",ST0020,product/overview-section/productspecinfo/cq:styleIds,1,1,"",N,"",N,""
6897,GPC0088,componentStyle/bgColor,ST0020,product/overview-section/productspecinfo/iconBlockBgColor,1,1,"",N,"",N,""
6898,GPC0088,specBlockContent/layoutType,ST0020,product/overview-section/productspecinfo/iconBlockLayoutType,1,1,"",N,"",N,""
6899,GPC0088,specBlockType/mobileBlockType,ST0020,product/overview-section/productspecinfo/iconBlockMobileType,1,1,"",N,"",N,""
6900,GPC0088,specBlockContent/selectedIconType,ST0020,product/overview-section/productspecinfo/iconBlockContent/item/iconType,1,1,"",Y,item,N,""
6901,GPC0088,specBlockContent/specBlockText,ST0020,product/overview-section/productspecinfo/iconBlockContent/item/iconBlockText,1,1,"",Y,item,N,""
6902,GPC0088,specBlockContent/desktopImage_path,ST0020,product/overview-section/productspecinfo/iconBlockContent/item/iconBlockImageRef,1,1,"",Y,item,N,""
6903,GPC0088,specBlockContent/desktopImage_alt,ST0020,product/overview-section/productspecinfo/iconBlockContent/item/iconBlockImageAltText,1,1,"",Y,item,N,""
6904,GPC0088,"",ST0020,product/overview-section/productspecinfo/icon-eyebrow/sling:resourceType,1,1,"",Y,icon-eyebrow,N,""
6905,GPC0088,"",ST0020,product/overview-section/productspecinfo/icon-eyebrow/type,1,1,"",Y,icon-eyebrow,N,""
6906,GPC0088,"",ST0020,product/overview-section/productspecinfo/icon-eyebrow/linkTarget,1,1,"",Y,icon-eyebrow,N,""
6907,GPC0088,specBlockContent/eyebrow,ST0020,product/overview-section/productspecinfo/icon-eyebrow/jcr:title,1,1,"",Y,icon-eyebrow,N,""
6908,GPC0088,"",ST0020,product/overview-section/productspecinfo/icon-eyebrow/linkUrl,1,1,"",Y,icon-eyebrow,N,""
6909,GPC0088,"",ST0020,product/overview-section/productspecinfo/icon-eyebrow/id,1,1,"",Y,icon-bodycopy,N,""
6910,GPC0088,"",ST0020,product/overview-section/productspecinfo/icon-bodycopy/sling:resourceType,1,1,"",Y,icon-bodycopy,N,""
6911,GPC0088,"",ST0020,product/overview-section/productspecinfo/icon-bodycopy/textIsRich,1,1,"",Y,icon-bodycopy,N,""
6912,GPC0088,specBlockContent/description,ST0020,product/overview-section/productspecinfo/icon-bodycopy/text,1,1,"",Y,icon-bodycopy,N,""
6913,GPC0088,"",ST0020,product/overview-section/productspecinfo/icon-bodycopy/id,1,1,"",Y,icon-bodycopy,N,""
6914,GPC0145,"",ST0053,product/overview-section/award/sling:resourceType,2,10,"",N,"",N,""
6915,GPC0145,"",ST0053,product/overview-section/award/textIsRich,2,10,"",N,"",N,""
6916,GPC0145,componentStyle/margin,ST0053,product/overview-section/award/cq:styleIds,2,10,"",N,"",N,""
6917,GPC0145,"",ST0053,product/overview-section/award/styleType,2,10,"",N,"",N,""
6918,GPC0145,mediaStyle/mediaTextAlign,ST0053,product/overview-section/award/descriptionTextAlign,2,10,"",N,"",N,""
6919,GPC0145,media/image_path,ST0053,product/overview-section/award/awardList/item/iconImageRef,2,10,"",Y,item,N,""
6920,GPC0145,media/image_alt,ST0053,product/overview-section/award/awardList/item/iconImageAltText,2,10,"",Y,item,N,""
6921,GPC0145,media/imageHeadline,ST0053,product/overview-section/award/awardList/item/title,2,10,"",Y,item,N,""
6922,GPC0145,media/headCopy,ST0053,product/overview-section/award/awardList/item/subTitle,2,10,"",Y,item,N,""
6923,GPC0145,media/bodyCopy,ST0053,product/overview-section/award/awardList/item/description,2,10,"",Y,item,N,""
6924,GPC0145,media/linkUrl,ST0053,product/overview-section/award/awardList/item/linkUrl,2,10,"",Y,item,N,""
6925,GPC0145,media/linkName,ST0053,product/overview-section/award/awardList/item/linkName,2,10,"",Y,item,N,""
6926,GPC0145,media/linkValue,ST0053,product/overview-section/award/awardList/item/linkValue,2,10,"",Y,item,N,""
6927,GPC0145,media/linkTarget,ST0053,product/overview-section/award/awardList/item/linkTarget,2,10,"",Y,item,N,""
6928,GPC0055,"",ST0001,product/overview-section/heroimage/sling:resourceType,3,10,heroimage,N,"",N,""
6929,GPC0055,"",ST0001,product/overview-section/heroimage/cq:styleIds,3,10,heroimage,N,"",N,""
6930,GPC0055,layoutType,ST0001,product/overview-section/heroimage/variantType,3,10,heroimage,N,"",N,""
6931,GPC0055,content/useDateFlag,ST0001,product/overview-section/heroimage/scheduleDisplayUsability,3,10,heroimage,N,"",N,""
6932,GPC0055,content/countdownFlag,ST0001,product/overview-section/heroimage/endDateCountDown,3,10,heroimage,N,"",N,""
6933,GPC0055,content/startDate,ST0001,product/overview-section/heroimage/startDate,3,10,heroimage,N,"",N,""
6934,GPC0055,content/endDate,ST0001,product/overview-section/heroimage/endDate,3,10,heroimage,N,"",N,""
6935,GPC0055,"",ST0001,product/overview-section/heroimage/blogDate,3,10,heroimage,N,"",N,""
6936,GPC0055,"",ST0001,product/overview-section/heroimage/hashTag,3,10,heroimage,N,"",N,""
6937,GPC0055,content/mediaType,ST0001,product/overview-section/heroimage/mediaTypeItems,3,10,heroimage,N,"",N,""
6938,GPC0055,content/animationThumbnail_alt,ST0001,product/overview-section/heroimage/animationThumbnailAltText,3,10,heroimage,N,"",N,""
6939,GPC0055,content/animationThumbnail_path,ST0001,product/overview-section/heroimage/animationThumbnailImageRef,3,10,heroimage,N,"",N,""
6940,GPC0055,content/animationThumbnailMobile_path,ST0001,product/overview-section/heroimage/animationThumbnailImageRefMobile,3,10,heroimage,N,"",N,""
6941,GPC0055,content/modelUseFlag,ST0001,product/overview-section/heroimage/animationMobileFlag,3,10,heroimage,N,"",N,""
6942,GPC0055,content/mobileAnimationFile,ST0001,product/overview-section/heroimage/animationRefMobile,3,10,heroimage,N,"",N,""
6943,GPC0055,content/animationFile,ST0001,product/overview-section/heroimage/animationRef,3,10,heroimage,N,"",N,""
6944,GPC0055,content/mobileImage_path,ST0001,product/overview-section/heroimage/imageRefMobile,3,10,heroimage,N,"",N,""
6945,GPC0055,content/desktopImage_path,ST0001,product/overview-section/heroimage/imageRef,3,10,heroimage,N,"",N,""
6946,GPC0055,content/desktopImage_alt,ST0001,product/overview-section/heroimage/imageAltText,3,10,heroimage,N,"",N,""
6947,GPC0055,"",ST0001,product/overview-section/heroimage/videoCtaLabel,3,10,heroimage,N,"",N,""
6948,GPC0055,content/videoThumbnailMobile_path,ST0001,product/overview-section/heroimage/videoThumbnailImageRefMobile,3,10,heroimage,N,"",N,""
6949,GPC0055,content/videoThumbnail_path,ST0001,product/overview-section/heroimage/videoThumbnailImageRef,3,10,heroimage,N,"",N,""
