"locale_code","model_id","rep_order_no","sku","sales_model_code","model_name","small_image_addr","r_small_image_addr","small_image_replace_use","md_add","large_image_addr","r_large_image_addr","large_image_replace_use","md_add2","zoom_image_addr","r_zoom_image_addr","zoom_image_replace_use","md_add3","zoom_mobile_image_addr","r_zoom_mobile_image_addr","zoom_mobile_image_replace_use","md_add4"
UK,MD07577529,1,"49GR85DC-B_AEK_EEUK_UK_C",,,/uk/images/monitors/md07577529/gallery/S-01.jpg,/uk/images/monitors/49GR85DC-B_AEK_EEUK_UK_C/gallery/S-01.jpg,N,N,/uk/images/monitors/md07577529/gallery/D-01.jpg,/uk/images/monitors/49GR85DC-B_AEK_EEUK_UK_C/gallery/D-01.jpg,N,N,/uk/images/monitors/md07577529/gallery/DZ-01.jpg,/uk/images/monitors/49GR85DC-B_AEK_EEUK_UK_C/gallery/DZ-01.jpg,N,N,/uk/images/monitors/md07577529/gallery/MZ-01.jpg,/uk/images/monitors/49GR85DC-B_AEK_EEUK_UK_C/gallery/MZ-01.jpg,N,N
UK,MD07577529,2,"49GR85DC-B_AEK_EEUK_UK_C",,,/uk/images/monitors/md07577529/gallery/S-02.jpg,/uk/images/monitors/49GR85DC-B_AEK_EEUK_UK_C/gallery/S-02.jpg,N,N,/uk/images/monitors/md07577529/gallery/D-02.jpg,/uk/images/monitors/49GR85DC-B_AEK_EEUK_UK_C/gallery/D-02.jpg,N,N,/uk/images/monitors/md07577529/gallery/DZ-02.jpg,/uk/images/monitors/49GR85DC-B_AEK_EEUK_UK_C/gallery/DZ-02.jpg,N,N,/uk/images/monitors/md07577529/gallery/MZ-02.jpg,/uk/images/monitors/49GR85DC-B_AEK_EEUK_UK_C/gallery/MZ-02.jpg,N,N
UK,MD07577529,3,"49GR85DC-B_AEK_EEUK_UK_C",,,/uk/images/monitors/md07577529/gallery/S-03.jpg,/uk/images/monitors/49GR85DC-B_AEK_EEUK_UK_C/gallery/S-03.jpg,N,N,/uk/images/monitors/md07577529/gallery/D-03.jpg,/uk/images/monitors/49GR85DC-B_AEK_EEUK_UK_C/gallery/D-03.jpg,N,N,/uk/images/monitors/md07577529/gallery/DZ-03.jpg,/uk/images/monitors/49GR85DC-B_AEK_EEUK_UK_C/gallery/DZ-03.jpg,N,N,/uk/images/monitors/md07577529/gallery/MZ-03.jpg,/uk/images/monitors/49GR85DC-B_AEK_EEUK_UK_C/gallery/MZ-03.jpg,N,N
UK,MD07577529,4,"49GR85DC-B_AEK_EEUK_UK_C",,,/uk/images/monitors/md07577529/gallery/S-04.jpg,/uk/images/monitors/49GR85DC-B_AEK_EEUK_UK_C/gallery/S-04.jpg,N,N,/uk/images/monitors/md07577529/gallery/D-04.jpg,/uk/images/monitors/49GR85DC-B_AEK_EEUK_UK_C/gallery/D-04.jpg,N,N,/uk/images/monitors/md07577529/gallery/DZ-04.jpg,/uk/images/monitors/49GR85DC-B_AEK_EEUK_UK_C/gallery/DZ-04.jpg,N,N,/uk/images/monitors/md07577529/gallery/MZ-04.jpg,/uk/images/monitors/49GR85DC-B_AEK_EEUK_UK_C/gallery/MZ-04.jpg,N,N
UK,MD07577529,5,"49GR85DC-B_AEK_EEUK_UK_C",,,/uk/images/monitors/md07577529/gallery/S-05.jpg,/uk/images/monitors/49GR85DC-B_AEK_EEUK_UK_C/gallery/S-05.jpg,N,N,/uk/images/monitors/md07577529/gallery/D-05.jpg,/uk/images/monitors/49GR85DC-B_AEK_EEUK_UK_C/gallery/D-05.jpg,N,N,/uk/images/monitors/md07577529/gallery/DZ-05.jpg,/uk/images/monitors/49GR85DC-B_AEK_EEUK_UK_C/gallery/DZ-05.jpg,N,N,/uk/images/monitors/md07577529/gallery/MZ-05.jpg,/uk/images/monitors/49GR85DC-B_AEK_EEUK_UK_C/gallery/MZ-05.jpg,N,N
UK,MD07577529,6,"49GR85DC-B_AEK_EEUK_UK_C",,,/uk/images/monitors/md07577529/gallery/S-06.jpg,/uk/images/monitors/49GR85DC-B_AEK_EEUK_UK_C/gallery/S-06.jpg,N,N,/uk/images/monitors/md07577529/gallery/D-06.jpg,/uk/images/monitors/49GR85DC-B_AEK_EEUK_UK_C/gallery/D-06.jpg,N,N,/uk/images/monitors/md07577529/gallery/DZ-06.jpg,/uk/images/monitors/49GR85DC-B_AEK_EEUK_UK_C/gallery/DZ-06.jpg,N,N,/uk/images/monitors/md07577529/gallery/MZ-06.jpg,/uk/images/monitors/49GR85DC-B_AEK_EEUK_UK_C/gallery/MZ-06.jpg,N,N
UK,MD07577529,7,"49GR85DC-B_AEK_EEUK_UK_C",,,/uk/images/monitors/md07577529/gallery/S-07.jpg,/uk/images/monitors/49GR85DC-B_AEK_EEUK_UK_C/gallery/S-07.jpg,N,N,/uk/images/monitors/md07577529/gallery/D-07.jpg,/uk/images/monitors/49GR85DC-B_AEK_EEUK_UK_C/gallery/D-07.jpg,N,N,/uk/images/monitors/md07577529/gallery/DZ-07.jpg,/uk/images/monitors/49GR85DC-B_AEK_EEUK_UK_C/gallery/DZ-07.jpg,N,N,/uk/images/monitors/md07577529/gallery/MZ-07.jpg,/uk/images/monitors/49GR85DC-B_AEK_EEUK_UK_C/gallery/MZ-07.jpg,N,N
UK,MD07577529,8,"49GR85DC-B_AEK_EEUK_UK_C",,,/uk/images/monitors/md07577529/gallery/S-08.jpg,/uk/images/monitors/49GR85DC-B_AEK_EEUK_UK_C/gallery/S-08.jpg,N,N,/uk/images/monitors/md07577529/gallery/D-08.jpg,/uk/images/monitors/49GR85DC-B_AEK_EEUK_UK_C/gallery/D-08.jpg,N,N,/uk/images/monitors/md07577529/gallery/DZ-08.jpg,/uk/images/monitors/49GR85DC-B_AEK_EEUK_UK_C/gallery/DZ-08.jpg,N,N,/uk/images/monitors/md07577529/gallery/MZ-08.jpg,/uk/images/monitors/49GR85DC-B_AEK_EEUK_UK_C/gallery/MZ-08.jpg,N,N
UK,MD07577529,9,"49GR85DC-B_AEK_EEUK_UK_C",,,/uk/images/monitors/md07577529/gallery/S-09.jpg,/uk/images/monitors/49GR85DC-B_AEK_EEUK_UK_C/gallery/S-09.jpg,N,N,/uk/images/monitors/md07577529/gallery/D-09.jpg,/uk/images/monitors/49GR85DC-B_AEK_EEUK_UK_C/gallery/D-09.jpg,N,N,/uk/images/monitors/md07577529/gallery/DZ-09.jpg,/uk/images/monitors/49GR85DC-B_AEK_EEUK_UK_C/gallery/DZ-09.jpg,N,N,/uk/images/monitors/md07577529/gallery/MZ-09.jpg,/uk/images/monitors/49GR85DC-B_AEK_EEUK_UK_C/gallery/MZ-09.jpg,N,N
UK,MD07577529,10,"49GR85DC-B_AEK_EEUK_UK_C",,,/uk/images/monitors/md07577529/gallery/S-10.jpg,/uk/images/monitors/49GR85DC-B_AEK_EEUK_UK_C/gallery/S-10.jpg,N,N,/uk/images/monitors/md07577529/gallery/D-10.jpg,/uk/images/monitors/49GR85DC-B_AEK_EEUK_UK_C/gallery/D-10.jpg,N,N,/uk/images/monitors/md07577529/gallery/DZ-10.jpg,/uk/images/monitors/49GR85DC-B_AEK_EEUK_UK_C/gallery/DZ-10.jpg,N,N,/uk/images/monitors/md07577529/gallery/MZ-10.jpg,/uk/images/monitors/49GR85DC-B_AEK_EEUK_UK_C/gallery/MZ-10.jpg,N,N
