"model_id","original_model_id","sku","model_status_code","locale","page_name","locale_code"
MD00016821,MD00016821,ARNU12GSEL2.EMBALEU.EEUK.UK.C,SUSPENDED,UK,"",
MD00016822,MD00016822,"19LG3000.AEK.EEUK.UK.C",SUSPENDED,UK,"",
MD00016823,MD00016823,"19LG3010.AEK.EEUK.UK.C",SUSPENDED,UK,"",
MD00016824,MD00016824,"19LH2000.AEK.EEUK.UK.C",SUSPENDED,UK,"",
MD00016825,MD00016825,"19LU4000.AEK.EEUK.UK.C",SUSPENDED,UK,"",
MD00016826,MD00016826,"19LU5000.AEURLAX.EEUK.UK.C",DISCONTINUED,UK,"",
MD00016827,MD00016827,"19LU7000.AEK.EEUK.UK.C",SUSPENDED,UK,"",
MD00016828,MD00016828,"22LG3000.AEK.EEUK.UK.C",SUSPENDED,UK,"",
MD00016829,MD00016829,"22LG3010.AEK.EEUK.UK.C",DISCONTINUED,UK,"",
MD00016830,MD00016830,"22LH2000.AEK.EEUK.UK.C",SUSPENDED,UK,"",
MD00016836,MD00016836,"26LH2000.AEK.EEUK.UK.C",SUSPENDED,UK,"",
MD00016840,MD00016840,"32LG4000.AEK.EEUK.UK.C",SUSPENDED,UK,"",
MD00016854,MD00016854,"37LG5000.AEK.EEUK.UK.C",SUSPENDED,UK,"",
MD00016856,MD00016856,"37LG6000.AEK.EEUK.UK.C",SUSPENDED,UK,"",
MD00016859,MD00016859,"37LH3000.AEK.EEUK.UK.C",SUSPENDED,UK,"",
MD00016860,MD00016860,"37LH4000.AEK.EEUK.UK.C",SUSPENDED,UK,"",
MD00016906,MD00016906,AF115.AEU.EEUK.UK.C,DISCONTINUED,UK,"",
MD00016907,MD00016907,AH215.AEK.EEUK.UK.C,DISCONTINUED,UK,"",
MD00016918,MD00016918,ARNU07GTJC2.ENWALEU.EEUK.UK.C,SUSPENDED,UK,"",
MD00016930,MD00016930,KC550.AGBRBK.EEUK.UK.C,DISCONTINUED,UK,"",
MD00016931,MD00016931,KC780.AGBRBK.EEUK.UK.C,DISCONTINUED,UK,"",
MD00016932,MD00016932,KC910.AGBRPK.EEUK.UK.C,DISCONTINUED,UK,"",
MD00016933,MD00016933,KC910.AGBRPK.EEUK.UK.C,DISCONTINUED,UK,"",
MD00016934,MD00016934,KE970.AGBRSS.EEUK.UK.C,DISCONTINUED,UK,"",
MD00016935,MD00016935,KF300.AGBRBK.EEUK.UK.C,DISCONTINUED,UK,"",
MD00016936,MD00016936,KF510.AGBRDG.EEUK.UK.C,DISCONTINUED,UK,"",
